name1,id1,slug1,name2,id2,slug2,match_type,similarity,confidence,action,keep_id,reason
"S. V. Krishna Reddy","b37c432b-117a-4a66-8972-26b7b3042c09","celeb-s-v-krishna-reddy","S.V. Krishna Reddy","d4edec92-7691-44a5-ab1b-cb70b68b7c08","celeb-s-v-krishna-reddy","exact_name",1.0000,0.9800,"auto_merge","d4edec92-7691-44a5-ab1b-cb70b68b7c08","Exact normalized name match: ""S. V. Krishna Reddy"" vs ""S.V. Krishna Reddy"""
"Aadi","bd03d4e0-7ac8-46d0-be57-956c3fc0f048","celeb-aadi","Aadi Saikumar","3c8c9b48-081b-4839-8866-3adad4d9b47a","celeb-aadi-saikumar","same_tmdb_id",1.0000,0.9900,"auto_merge","bd03d4e0-7ac8-46d0-be57-956c3fc0f048","Same TMDB ID: 1180898"
"Allu","fa67cbeb-adcc-49e1-9418-77e29ddc0aac","celeb-allu","Allu Arjun","e772a33c-504c-47f1-b723-ea9a47869638","allu-arjun","same_tmdb_id",1.0000,0.9900,"auto_merge","fa67cbeb-adcc-49e1-9418-77e29ddc0aac","Same TMDB ID: 108215"
"Bhanu Chander","71476596-7275-4532-be84-631e99c81e15","","Bhanuchander","77b6b8f3-559d-4563-81a5-b9a65edf600f","celeb-bhanuchander","same_tmdb_id",1.0000,0.9900,"auto_merge","77b6b8f3-559d-4563-81a5-b9a65edf600f","Same TMDB ID: 1107010"
"Bhanumathi","b89cc71e-0cea-4446-ada4-ba6852e48f50","celeb-bhanumathi","Bhanumathi Ramakrishna","0f44232a-79a0-4a5f-939f-0e1038cf8fac","celeb-bhanumathi-ramakrishna","same_tmdb_id",1.0000,0.9900,"auto_merge","b89cc71e-0cea-4446-ada4-ba6852e48f50","Same TMDB ID: 1003965"
"Chandra Mohan","7b4239ee-a744-4591-9b04-4e8609627e7b","celeb-chandra-mohan","Chandramohan","39963462-2470-488d-8e0b-0d75a0acd7e5","celeb-chandramohan","same_tmdb_id",1.0000,0.9900,"auto_merge","7b4239ee-a744-4591-9b04-4e8609627e7b","Same TMDB ID: 586627"
"E V V Satyanarayana","da60dad4-f36d-4e36-8467-a231c42f9524","celeb-e-v-v-satyanarayana","E. V. V. Satyanarayana","ec8d245c-7c81-41c5-93f9-d0a458d2b8a8","","same_tmdb_id",1.0000,0.9900,"auto_merge","ec8d245c-7c81-41c5-93f9-d0a458d2b8a8","Same TMDB ID: 1060277"
"E V V Satyanarayana","da60dad4-f36d-4e36-8467-a231c42f9524","celeb-e-v-v-satyanarayana","E.V.V. Satyanarayana","25f2f198-b386-463a-87d4-61655dbe088d","celeb-e-v-v-satyanarayana","same_tmdb_id",1.0000,0.9900,"auto_merge","25f2f198-b386-463a-87d4-61655dbe088d","Same TMDB ID: 1060277"
"Jagapathi Babu","ed2aaa80-0f2b-4977-b1fb-bd3a8f0030f6","celeb-jagapathi-babu","Jagapati Babu","a9caaf6b-8425-48bd-b32a-786cf908f018","celeb-jagapati-babu","same_tmdb_id",1.0000,0.9900,"auto_merge","ed2aaa80-0f2b-4977-b1fb-bd3a8f0030f6","Same TMDB ID: 465273"
"Jandhyala","265f1268-e5e4-4836-a9f7-436c86a237fe","celeb-jandhyala","Jandhyala Subramanya Sastry","43d45481-b2fc-4a9f-a07d-5b27e0ce91c4","celeb-jandhyala-subramanya-sastry","same_tmdb_id",1.0000,0.9900,"auto_merge","265f1268-e5e4-4836-a9f7-436c86a237fe","Same TMDB ID: 928860"
"Jayalalitha","3e18a500-ed87-4122-9fc4-7a54dce3bb82","celeb-jayalalitha","Jayalalithaa","2839233f-e743-4949-99f6-0f7704899710","celeb-jayalalithaa","same_tmdb_id",1.0000,0.9900,"auto_merge","3e18a500-ed87-4122-9fc4-7a54dce3bb82","Same TMDB ID: 1123523"
"Jaya Prada","9144620f-4abd-4ba6-a713-494ea336cf76","jaya-prada","Jayaprada","fcb5d352-c9e7-4fd3-9aac-7fbe8c18a818","","same_tmdb_id",1.0000,0.9900,"auto_merge","9144620f-4abd-4ba6-a713-494ea336cf76","Same TMDB ID: 238016"
"K Balachander","e47f51c1-c14a-4a73-b461-eae5e17ab72b","celeb-k-balachander","K. Balachander","aefdd1b5-016c-43f8-ac19-c1cb18fbc061","","same_tmdb_id",1.0000,0.9900,"auto_merge","aefdd1b5-016c-43f8-ac19-c1cb18fbc061","Same TMDB ID: 237706"
"K. S. R. Das","6a903db0-b953-48e2-ace3-c370a3653386","celeb-k-s-r-das","K.S.R. Das","a6215fa5-680b-4b0b-afcd-0e43accadbea","celeb-k-s-r-das","same_tmdb_id",1.0000,0.9900,"auto_merge","a6215fa5-680b-4b0b-afcd-0e43accadbea","Same TMDB ID: 1335734"
"A Kodandarami Reddy","059efba5-7e6f-4c1a-9682-e6ca66dac5c6","celeb-a-kodandarami-reddy","Kodanda Rami Reddy","9f7a6c1d-c515-4062-9436-ae170cc37094","celeb-kodanda-rami-reddy","same_tmdb_id",1.0000,0.9900,"auto_merge","9f7a6c1d-c515-4062-9436-ae170cc37094","Same TMDB ID: 584666"
"A Kodandarami Reddy","059efba5-7e6f-4c1a-9682-e6ca66dac5c6","celeb-a-kodandarami-reddy","Kodandarami Reddy","b15157d0-e667-4be8-b470-eb6955a9b3c6","celeb-kodandarami-reddy","same_tmdb_id",1.0000,0.9900,"auto_merge","b15157d0-e667-4be8-b470-eb6955a9b3c6","Same TMDB ID: 584666"
"Jaggayya","680ebff5-78e7-4aca-8815-374583bc9069","jaggayya","Kongara Jaggayya","12246ccf-e690-41f3-b33e-5b9951bfd054","celeb-kongara-jaggayya","same_tmdb_id",1.0000,0.9900,"auto_merge","680ebff5-78e7-4aca-8815-374583bc9069","Same TMDB ID: 1335686"
"Khushboo","52292e26-0955-4978-8929-c09687e16ffb","celeb-khushboo","Kushboo","bf5297a6-0ae8-49bc-b782-728d15f1a3ce","celeb-kushboo","same_tmdb_id",1.0000,0.9900,"auto_merge","52292e26-0955-4978-8929-c09687e16ffb","Same TMDB ID: 82078"
"N T Rama Rao","56e96776-389c-498c-9e4d-e099031e7f04","n-t-rama-rao","N.T. Rama Rao","2066cd3d-60ec-46b2-86f0-eb4c50b2253a","celeb-n-t-rama-rao","same_tmdb_id",1.0000,0.9900,"auto_merge","2066cd3d-60ec-46b2-86f0-eb4c50b2253a","Same TMDB ID: 1003933"
"Jr. NTR","cca50aad-69af-4c86-be34-2fef9c4f7e8f","jr-ntr","N.T. Rama Rao Jr.","5e9bdc8d-63f8-4007-93dc-e03824a243cf","celeb-n-t-rama-rao-jr-","same_tmdb_id",1.0000,0.9900,"auto_merge","5e9bdc8d-63f8-4007-93dc-e03824a243cf","Same TMDB ID: 148037"
"Naga Shaurya","9b3fba37-c96b-4407-89d3-0e329eaa0b9a","celeb-naga-shaurya","Naga Shourya","303c9687-1d0e-42c4-acc1-e7a042e3e14e","celeb-naga-shourya","same_tmdb_id",1.0000,0.9900,"auto_merge","9b3fba37-c96b-4407-89d3-0e329eaa0b9a","Same TMDB ID: 1400656"
"Akkineni Nageswara Rao","32a99a11-86be-4afa-a0e6-ce18c6ce3eea","akkineni-nageswara-rao","Nageshwara Rao Akkineni","b4262f0a-ab14-4797-abba-12ce1cf1b8d6","celeb-nageshwara-rao-akkineni","same_tmdb_id",1.0000,0.9900,"auto_merge","32a99a11-86be-4afa-a0e6-ce18c6ce3eea","Same TMDB ID: 237254"
"Nara Rohit","0d3c270a-908b-4723-b3d7-ea92bfe6411b","celeb-nara-rohit","Nara Rohith","413563f4-9760-4157-8608-d98593ff4aff","celeb-nara-rohith","same_tmdb_id",1.0000,0.9900,"auto_merge","0d3c270a-908b-4723-b3d7-ea92bfe6411b","Same TMDB ID: 938965"
"Bhanumathi","b89cc71e-0cea-4446-ada4-ba6852e48f50","celeb-bhanumathi","P Bhanumathi","4f6558d3-45cf-428e-a717-bfb5f6f976f2","p-bhanumathi","same_tmdb_id",1.0000,0.9900,"auto_merge","b89cc71e-0cea-4446-ada4-ba6852e48f50","Same TMDB ID: 1003965"
"Raadhika","da2f3282-9f32-45d5-a5d4-06cf7b990f44","celeb-raadhika","Radikaa Sarathkumar","4c03c0df-c977-4de9-9bad-c7a7782e4b5a","celeb-radikaa-sarathkumar","same_tmdb_id",1.0000,0.9900,"auto_merge","da2f3282-9f32-45d5-a5d4-06cf7b990f44","Same TMDB ID: 562177"
"Dr. Rajasekhar","602a3f4c-b9b0-4375-a126-05d73bfa1f24","celeb-dr-rajasekhar","Rajasekhar","9124d7c0-72fd-4f21-ab80-8a35fe1d2d83","celeb-rajasekhar","same_tmdb_id",1.0000,0.9900,"auto_merge","9124d7c0-72fd-4f21-ab80-8a35fe1d2d83","Same TMDB ID: 590744"
"Ramya Krishna","ed0400fb-23c3-4fc8-b945-afb6c51d8f03","celeb-ramya-krishna","Ramya Krishnan","7b5ad0b1-105a-4a9d-a5f9-1070ce756e28","celeb-ramya-krishnan","same_tmdb_id",1.0000,0.9900,"auto_merge","ed0400fb-23c3-4fc8-b945-afb6c51d8f03","Same TMDB ID: 141701"
"Nara Rohit","0d3c270a-908b-4723-b3d7-ea92bfe6411b","celeb-nara-rohit","Rohit","d7dfcf0b-d81e-4507-a827-51e4174a20b3","celeb-rohit","same_tmdb_id",1.0000,0.9900,"auto_merge","d7dfcf0b-d81e-4507-a827-51e4174a20b3","Same TMDB ID: 938965"
"Ravichandran","6bde6742-b23a-4d6d-974b-793037fe6493","","S. S. Ravichandra","f6daf0c0-2852-4776-87ac-7b9cc3346305","celeb-s-s-ravichandra","same_tmdb_id",1.0000,0.9900,"auto_merge","6bde6742-b23a-4d6d-974b-793037fe6493","Same TMDB ID: 584132"
"S. V. Krishna Reddy","b37c432b-117a-4a66-8972-26b7b3042c09","celeb-s-v-krishna-reddy","S.V. Krishna Reddy","d4edec92-7691-44a5-ab1b-cb70b68b7c08","celeb-s-v-krishna-reddy","same_tmdb_id",1.0000,0.9900,"auto_merge","d4edec92-7691-44a5-ab1b-cb70b68b7c08","Same TMDB ID: 1029010"
"Sai Dharam Tej","de66941a-103f-4692-9928-14c6b9674917","celeb-sai-dharam-tej","Sai Durgha Tej","86cc389f-9d7a-4245-ae9f-5d1918883b99","celeb-sai-durgha-tej","same_tmdb_id",1.0000,0.9900,"auto_merge","de66941a-103f-4692-9928-14c6b9674917","Same TMDB ID: 1386112"
"Samantha","96b036df-313a-4bd0-b472-1fb35b57b21c","celeb-samantha","Samantha Ruth Prabhu","5cd427fc-92bb-477c-b38c-f5777373c577","samantha","same_tmdb_id",1.0000,0.9900,"auto_merge","96b036df-313a-4bd0-b472-1fb35b57b21c","Same TMDB ID: 225312"
"Kaikala Satyanarayana","291b42c7-3839-4ef0-afa4-6cfbf6afb070","celeb-kaikala-satyanarayana","Satyanarayana","68dfa96d-1d00-43f6-81bc-c871bc84e209","celeb-satyanarayana","same_tmdb_id",1.0000,0.9900,"auto_merge","68dfa96d-1d00-43f6-81bc-c871bc84e209","Same TMDB ID: 552991"
"Shanthi Priya","ab69ec8c-2d7e-40f5-9154-c1635b4534db","","Shantipriya","764bf9e3-654c-4c03-a431-f3eae47673c0","celeb-shantipriya","same_tmdb_id",1.0000,0.9900,"auto_merge","764bf9e3-654c-4c03-a431-f3eae47673c0","Same TMDB ID: 2984931"
"Janaki","c293135b-e402-4667-ad0a-280f44a04910","celeb-janaki","Showkar Janaki","5c495fb9-803c-4842-9859-64f2a93fe7fb","","same_tmdb_id",1.0000,0.9900,"auto_merge","c293135b-e402-4667-ad0a-280f44a04910","Same TMDB ID: 584415"
"Sivaji","72e1b4b8-2b29-4402-a2d6-6c06a68c7252","celeb-sivaji","Sivaji Ganesan","ef16114f-6a26-4fab-abe4-6e5514be1f6e","celeb-sivaji-ganesan","same_tmdb_id",1.0000,0.9900,"auto_merge","72e1b4b8-2b29-4402-a2d6-6c06a68c7252","Same TMDB ID: 582183"
"Babu Rao","a76b95b6-67e6-4dfc-91f3-f125b45f0675","celeb-babu-rao","Sobhan Babu","f63204ee-5d9a-40ed-a706-6edfd0620f84","sobhan-babu","same_tmdb_id",1.0000,0.9900,"auto_merge","f63204ee-5d9a-40ed-a706-6edfd0620f84","Same TMDB ID: 1208885"
"Janaki","c293135b-e402-4667-ad0a-280f44a04910","celeb-janaki","Sowcar Janaki","612b0831-bb6d-4e3c-ab90-97f6057ae5cc","celeb-sowcar-janaki","same_tmdb_id",1.0000,0.9900,"auto_merge","c293135b-e402-4667-ad0a-280f44a04910","Same TMDB ID: 584415"
"Sreenu Vaitla","0d40f232-87e7-48b2-a831-53d9c54479f8","celeb-sreenu-vaitla","Srinu Vaitla","1f3c2739-bfa9-40a3-a5a3-10d8ffe01fa7","celeb-srinu-vaitla","same_tmdb_id",1.0000,0.9900,"auto_merge","0d40f232-87e7-48b2-a831-53d9c54479f8","Same TMDB ID: 1107021"
"Suman","2498ba80-af97-4cfd-8e03-d031d6b87191","celeb-suman","Sumanth Ashwin","4a992d7e-6de8-4395-85be-717a73f31c4c","celeb-sumanth-ashwin","same_tmdb_id",1.0000,0.9900,"auto_merge","2498ba80-af97-4cfd-8e03-d031d6b87191","Same TMDB ID: 1201818"
"N T Rama Rao","56e96776-389c-498c-9e4d-e099031e7f04","n-t-rama-rao","T. Rama Rao","a52ce466-f54d-4e17-8a54-81cd769ad62d","celeb-t-rama-rao","same_tmdb_id",1.0000,0.9900,"auto_merge","a52ce466-f54d-4e17-8a54-81cd769ad62d","Same TMDB ID: 1003933"
"Vanisree","aa7fdedc-96c6-49fa-9f6d-516cf727421a","vanisree","Vanisri","343c8f42-04c0-4759-8b0e-16e303966af4","celeb-vanisri","same_tmdb_id",1.0000,0.9900,"auto_merge","343c8f42-04c0-4759-8b0e-16e303966af4","Same TMDB ID: 583972"
"Daggubati Venkatesh","ceb2c247-5c54-4283-959b-dc3f394d9c09","celeb-daggubati-venkatesh","Venkatesh","52cf4ded-32c8-4d0f-9883-5867f252aa78","celeb-52cf4ded","same_tmdb_id",1.0000,0.9900,"auto_merge","ceb2c247-5c54-4283-959b-dc3f394d9c09","Same TMDB ID: 88166"
"Aadi","bd03d4e0-7ac8-46d0-be57-956c3fc0f048","celeb-aadi","Aadi Saikumar","3c8c9b48-081b-4839-8866-3adad4d9b47a","celeb-aadi-saikumar","same_imdb_id",1.0000,0.9900,"auto_merge","bd03d4e0-7ac8-46d0-be57-956c3fc0f048","Same IMDB ID: nm4925980"
"Allu","fa67cbeb-adcc-49e1-9418-77e29ddc0aac","celeb-allu","Allu Arjun","e772a33c-504c-47f1-b723-ea9a47869638","allu-arjun","same_imdb_id",1.0000,0.9900,"auto_merge","fa67cbeb-adcc-49e1-9418-77e29ddc0aac","Same IMDB ID: nm1084853"
"E. V. V. Satyanarayana","ec8d245c-7c81-41c5-93f9-d0a458d2b8a8","","E.V.V. Satyanarayana","25f2f198-b386-463a-87d4-61655dbe088d","celeb-e-v-v-satyanarayana","same_imdb_id",1.0000,0.9900,"auto_merge","25f2f198-b386-463a-87d4-61655dbe088d","Same IMDB ID: nm0004466"
"Jagapathi Babu","ed2aaa80-0f2b-4977-b1fb-bd3a8f0030f6","celeb-jagapathi-babu","Jagapati Babu","a9caaf6b-8425-48bd-b32a-786cf908f018","celeb-jagapati-babu","same_imdb_id",1.0000,0.9900,"auto_merge","ed2aaa80-0f2b-4977-b1fb-bd3a8f0030f6","Same IMDB ID: nm0045075"
"Jandhyala","265f1268-e5e4-4836-a9f7-436c86a237fe","celeb-jandhyala","Jandhyala Subramanya Sastry","43d45481-b2fc-4a9f-a07d-5b27e0ce91c4","celeb-jandhyala-subramanya-sastry","same_imdb_id",1.0000,0.9900,"auto_merge","265f1268-e5e4-4836-a9f7-436c86a237fe","Same IMDB ID: nm0417386"
"Jayalalitha","3e18a500-ed87-4122-9fc4-7a54dce3bb82","celeb-jayalalitha","Jayalalithaa","2839233f-e743-4949-99f6-0f7704899710","celeb-jayalalithaa","same_imdb_id",1.0000,0.9900,"auto_merge","3e18a500-ed87-4122-9fc4-7a54dce3bb82","Same IMDB ID: nm0412883"
"A Kodandarami Reddy","059efba5-7e6f-4c1a-9682-e6ca66dac5c6","celeb-a-kodandarami-reddy","Kodanda Rami Reddy","9f7a6c1d-c515-4062-9436-ae170cc37094","celeb-kodanda-rami-reddy","same_imdb_id",1.0000,0.9900,"auto_merge","9f7a6c1d-c515-4062-9436-ae170cc37094","Same IMDB ID: nm0004630"
"A Kodandarami Reddy","059efba5-7e6f-4c1a-9682-e6ca66dac5c6","celeb-a-kodandarami-reddy","Kodandarami Reddy","b15157d0-e667-4be8-b470-eb6955a9b3c6","celeb-kodandarami-reddy","same_imdb_id",1.0000,0.9900,"auto_merge","b15157d0-e667-4be8-b470-eb6955a9b3c6","Same IMDB ID: nm0004630"
"Akkineni Nageswara Rao","32a99a11-86be-4afa-a0e6-ce18c6ce3eea","akkineni-nageswara-rao","Nageshwara Rao Akkineni","b4262f0a-ab14-4797-abba-12ce1cf1b8d6","celeb-nageshwara-rao-akkineni","same_imdb_id",1.0000,0.9900,"auto_merge","32a99a11-86be-4afa-a0e6-ce18c6ce3eea","Same IMDB ID: nm0004463"
"Dr. Rajasekhar","602a3f4c-b9b0-4375-a126-05d73bfa1f24","celeb-dr-rajasekhar","Rajasekhar","9124d7c0-72fd-4f21-ab80-8a35fe1d2d83","celeb-rajasekhar","same_imdb_id",1.0000,0.9900,"auto_merge","9124d7c0-72fd-4f21-ab80-8a35fe1d2d83","Same IMDB ID: nm0707362"
"Ramya Krishna","ed0400fb-23c3-4fc8-b945-afb6c51d8f03","celeb-ramya-krishna","Ramya Krishnan","7b5ad0b1-105a-4a9d-a5f9-1070ce756e28","celeb-ramya-krishnan","same_imdb_id",1.0000,0.9900,"auto_merge","ed0400fb-23c3-4fc8-b945-afb6c51d8f03","Same IMDB ID: nm0471447"
"Nara Rohit","0d3c270a-908b-4723-b3d7-ea92bfe6411b","celeb-nara-rohit","Rohit","d7dfcf0b-d81e-4507-a827-51e4174a20b3","celeb-rohit","same_imdb_id",1.0000,0.9900,"auto_merge","d7dfcf0b-d81e-4507-a827-51e4174a20b3","Same IMDB ID: nm3611091"
"S. V. Krishna Reddy","b37c432b-117a-4a66-8972-26b7b3042c09","celeb-s-v-krishna-reddy","S.V. Krishna Reddy","d4edec92-7691-44a5-ab1b-cb70b68b7c08","celeb-s-v-krishna-reddy","same_imdb_id",1.0000,0.9900,"auto_merge","d4edec92-7691-44a5-ab1b-cb70b68b7c08","Same IMDB ID: nm0007161"
"Kaikala Satyanarayana","291b42c7-3839-4ef0-afa4-6cfbf6afb070","celeb-kaikala-satyanarayana","Satyanarayana","68dfa96d-1d00-43f6-81bc-c871bc84e209","celeb-satyanarayana","same_imdb_id",1.0000,0.9900,"auto_merge","68dfa96d-1d00-43f6-81bc-c871bc84e209","Same IMDB ID: nm0004467"
"Sivaji","72e1b4b8-2b29-4402-a2d6-6c06a68c7252","celeb-sivaji","Sivaji Ganesan","ef16114f-6a26-4fab-abe4-6e5514be1f6e","celeb-sivaji-ganesan","same_imdb_id",1.0000,0.9900,"auto_merge","72e1b4b8-2b29-4402-a2d6-6c06a68c7252","Same IMDB ID: nm0304262"
"Suman","2498ba80-af97-4cfd-8e03-d031d6b87191","celeb-suman","Sumanth Ashwin","4a992d7e-6de8-4395-85be-717a73f31c4c","celeb-sumanth-ashwin","same_imdb_id",1.0000,0.9900,"auto_merge","2498ba80-af97-4cfd-8e03-d031d6b87191","Same IMDB ID: nm5896360"
"N.T. Rama Rao","2066cd3d-60ec-46b2-86f0-eb4c50b2253a","celeb-n-t-rama-rao","T. Rama Rao","a52ce466-f54d-4e17-8a54-81cd769ad62d","celeb-t-rama-rao","same_imdb_id",1.0000,0.9900,"auto_merge","2066cd3d-60ec-46b2-86f0-eb4c50b2253a","Same IMDB ID: nm0004417"
"Daggubati Venkatesh","ceb2c247-5c54-4283-959b-dc3f394d9c09","celeb-daggubati-venkatesh","Venkatesh","52cf4ded-32c8-4d0f-9883-5867f252aa78","celeb-52cf4ded","same_imdb_id",1.0000,0.9900,"auto_merge","ceb2c247-5c54-4283-959b-dc3f394d9c09","Same IMDB ID: nm0893142"
