Year	Title	Slug	Hero	Heroine	Director	Music Director	Cinematographer	Editor	Writer	Producer	TMDB ID	Genres
2010	Komaram Puli	komaram-puli-2010	Pawan Kalyan	Nikisha Patel	S.J. Surya	A.R. Rahman	Binod Pradhan	V. T. Vijayan	S. J. Suryah	Singanamala Ramesh	199800	Action; Drama; Crime
2010	Puli	puli-2010	Pawan Kalyan	Nikeesa Patel	S.J. Surya	S. J. Surya	Binod Pradhan	V. T. Vijayan	S. J. Suryah	Pawan Kalyan	199800	Action; Crime; Thriller
2008	Jalsa	jalsa-2008	Pawan Kalyan	Ileana D'Cruz	Trivikram Srinivas	Devi Sri Prasad	Rasool Ellore	Sreekar Prasad	Trivikram Srinivas	Allu Aravind	73578	Action; Comedy
2006	Annavaram	annavaram-2006	Pawan Kalyan	Asin	Bhimaneni Srinivasa Rao	Ramana Gogula	Sethu Sriram	Gautham Raju	Bhimaneni Srinivasa Rao	R. B. Choudary	199806	Drama; Romance; Family
2005	Balu	balu-2005	Pawan Kalyan	Shriya Saran	A. Karunakaran	Mani Sharma		Kotagiri Venkateswara Rao		C. Ashwini Dutt	115268	Drama; Romance; Family
2004	Gudumba Shankar	gudumba-shankar-2004	Pawan Kalyan	Meera Jasmine	Veera Shankar Bairisetty	Mani Sharma	Chota K. Naidu	Yusuf Khan	Pawan Kalyan	Nagendra Babu	117093	Action; Comedy; Drama; Romance
2003	Johnny	johnny-2003	Pawan Kalyan	Renu Desai	Pawan Kalyan	Ramana Gogula	Chota K. Naidu	Yusuf Khan	Pawan Kalyan	Allu Aravind	281954	Action; Drama; Romance
2001	Kushi	kushi-2001	Pawan Kalyan	Bhumika Chawla	Sj Surya	Mani Sharma	P. C. Sreeram	Kola Bhaskar	S. J. Suryah	A. M. Rathnam	81070	Drama; Romance; Family; Comedy
2001	Khushi	khushi-2001	Pawan Kalyan	Kajol	Karan Johar	Babloo Chakravorty	Kiran Deohans	Sanjay Sankla	Sheena Parikh	Yash Johar	10757	Comedy; Drama
2000	Badri	badri-2000	Pawan Kalyan	Ameesha Patel	Puri Jagannadh	Ramana Gogula	Madhu Ambat	Marthand K Venkatesh	Puri Jagannadh	Trivikrama Rao T.	80921	Action; Drama; Romance
1999	Thammudu	thammudu-1999	Pawan Kalyan	Preeti Jhangiani	P.A. Arun Prasad						199808	Drama; Action
1998	Suswagatham	suswagatham-1998	Pawan Kalyan	Devayani	Bhimaneni Srinivasa Rao	S A Rajkumar			Bhimaneni Srinivasa Rao	R. B. Choudary	199812	Drama; Romance; Family
1998	Tholi Prema	tholi-prema-1998	Pawan Kalyan	Keerthi Reddy	A. Karunakaran	Deva				G.V.G. Raju	112846	Romance; Drama; Comedy
1997	Gokulamlo Seeta	gokulamlo-seeta-1997	Pawan Kalyan	Raasi	Muthyala Subbaiah							Drama; Romance; Family
1997	Gokulamlo Seetha	gokulamlo-seetha-1997	Pawan Kalyan	Raasi	Muthyala Subbaiah				Posani Krishna Murali		99158	Drama; Romance; Family; Mythological
1996	Akkada Ammayi Ikkada Abbayi	akkada-ammayi-ikkada-abbayi-1996	Pawan Kalyan	Chandramohan	E.V.V. Satyanarayana	Saluri Koteswara Rao			E.V.V. Satyanarayana	Allu Aravind	115050	Romance; Action
